GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.53,0.39,0.53,7.47,22.8,84.84,50.44,8.61,0.02,29.65,13.71,15.95,0.96,2004-01-01,Oromiya,West Hararge,Anchar,6
0.53,0.38,0.52,6.99,22.85,84.8,50.06,8.54,0.02,29.99,13.15,16.84,1.26,2004-01-02,Oromiya,West Hararge,Anchar,6
0.53,0.35,0.52,7.57,23.62,84.79,45.88,8.12,0.03,30.92,13.41,17.51,1.52,2004-01-03,Oromiya,West Hararge,Anchar,6
0.53,0.34,0.52,9.11,23.02,84.85,39.94,6.84,0.0,30.76,13.34,17.41,1.72,2004-01-04,Oromiya,West Hararge,Anchar,6
0.53,0.32,0.52,11.34,22.74,84.84,29.69,4.94,0.0,31.76,13.35,18.42,1.66,2004-01-05,Oromiya,West Hararge,Anchar,6
0.52,0.3,0.52,16.91,22.59,84.76,33.31,5.68,0.0,31.07,12.61,18.46,2.03,2004-01-06,Oromiya,West Hararge,Anchar,6
0.52,0.3,0.52,10.57,23.27,84.62,38.31,6.59,0.0,31.33,13.67,17.67,2.77,2004-01-07,Oromiya,West Hararge,Anchar,6
0.52,0.28,0.52,13.71,23.09,84.68,33.25,5.68,0.0,31.28,13.29,17.99,2.05,2004-01-08,Oromiya,West Hararge,Anchar,6
0.52,0.27,0.52,11.72,23.28,84.73,34.06,5.92,0.0,31.3,12.9,18.4,1.66,2004-01-09,Oromiya,West Hararge,Anchar,6
0.52,0.27,0.52,8.55,23.32,84.7,35.0,6.1,0.0,31.02,13.4,17.62,1.75,2004-01-10,Oromiya,West Hararge,Anchar,6
0.52,0.26,0.52,43.28,23.94,84.75,41.06,7.39,0.01,31.13,13.22,17.91,2.41,2004-01-11,Oromiya,West Hararge,Anchar,6
0.52,0.26,0.52,45.3,25.34,84.75,53.62,10.44,0.58,30.51,15.4,15.1,1.41,2004-01-12,Oromiya,West Hararge,Anchar,6
0.52,0.29,0.52,47.4,25.39,84.66,55.19,10.93,1.55,30.05,16.77,13.27,1.02,2004-01-13,Oromiya,West Hararge,Anchar,6
0.52,0.34,0.52,97.81,23.76,84.65,64.88,11.6,1.65,28.05,16.73,11.32,1.9,2004-01-14,Oromiya,West Hararge,Anchar,6
0.53,0.38,0.52,87.67,21.33,84.71,70.56,11.9,1.05,25.01,16.19,8.83,2.05,2004-01-15,Oromiya,West Hararge,Anchar,6
0.53,0.38,0.52,72.01,24.67,84.7,57.38,10.93,0.63,29.37,16.62,12.74,0.92,2004-01-16,Oromiya,West Hararge,Anchar,6
0.53,0.37,0.52,43.5,24.98,84.62,56.75,11.23,0.6,29.54,16.87,12.67,1.53,2004-01-17,Oromiya,West Hararge,Anchar,6
0.53,0.36,0.52,61.97,24.57,84.57,53.25,10.38,0.19,29.38,17.2,12.17,1.94,2004-01-18,Oromiya,West Hararge,Anchar,6
0.52,0.34,0.52,65.43,25.83,84.58,54.0,10.8,0.07,30.46,16.26,14.2,1.65,2004-01-19,Oromiya,West Hararge,Anchar,6
0.52,0.34,0.52,85.71,23.47,84.57,63.12,12.02,0.57,26.48,18.09,8.39,1.23,2004-01-20,Oromiya,West Hararge,Anchar,6
0.52,0.34,0.52,55.33,24.09,84.5,61.31,11.66,0.14,28.28,16.8,11.48,1.52,2004-01-21,Oromiya,West Hararge,Anchar,6
