GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.48,0.35,0.48,7.47,25.43,90.47,49.44,9.22,0.01,32.28,16.3,15.98,1.45,2004-01-01,Oromiya,West Hararge,Goba Koricha,7
0.48,0.34,0.47,6.99,25.59,90.43,51.88,9.58,0.01,32.54,16.02,16.52,1.56,2004-01-02,Oromiya,West Hararge,Goba Koricha,7
0.47,0.33,0.47,7.57,26.95,90.39,45.38,9.09,0.01,34.19,17.27,16.92,1.47,2004-01-03,Oromiya,West Hararge,Goba Koricha,7
0.47,0.31,0.47,9.11,26.22,90.46,42.5,8.36,0.0,33.15,17.81,15.34,1.48,2004-01-04,Oromiya,West Hararge,Goba Koricha,7
0.47,0.3,0.47,11.34,26.78,90.42,31.69,6.1,0.0,35.5,17.0,18.51,1.63,2004-01-05,Oromiya,West Hararge,Goba Koricha,7
0.47,0.29,0.47,16.91,27.1,90.33,32.88,6.71,0.0,35.07,17.57,17.5,1.33,2004-01-06,Oromiya,West Hararge,Goba Koricha,7
0.47,0.28,0.46,10.57,27.86,90.14,32.31,6.96,0.0,36.01,17.77,18.24,1.66,2004-01-07,Oromiya,West Hararge,Goba Koricha,7
0.47,0.27,0.46,13.71,27.65,90.24,30.12,6.35,0.0,35.31,17.49,17.82,1.66,2004-01-08,Oromiya,West Hararge,Goba Koricha,7
0.46,0.27,0.46,11.72,26.33,90.35,38.31,7.69,0.0,33.15,17.26,15.88,1.91,2004-01-09,Oromiya,West Hararge,Goba Koricha,7
0.46,0.26,0.46,8.55,27.33,90.29,40.31,8.12,0.0,34.13,16.96,17.17,1.18,2004-01-10,Oromiya,West Hararge,Goba Koricha,7
0.46,0.24,0.46,43.28,28.69,90.3,33.62,7.32,0.0,35.83,17.99,17.84,1.34,2004-01-11,Oromiya,West Hararge,Goba Koricha,7
0.46,0.24,0.46,45.3,29.23,90.31,48.75,11.17,0.58,34.09,19.41,14.68,1.15,2004-01-12,Oromiya,West Hararge,Goba Koricha,7
0.46,0.28,0.46,47.4,28.79,90.23,53.81,12.21,1.88,32.92,20.39,12.53,1.76,2004-01-13,Oromiya,West Hararge,Goba Koricha,7
0.47,0.33,0.46,97.81,25.98,90.29,64.75,12.82,1.76,29.75,19.51,10.23,2.72,2004-01-14,Oromiya,West Hararge,Goba Koricha,7
0.47,0.35,0.47,87.67,25.44,90.33,62.44,12.33,1.07,29.8,18.9,10.9,2.44,2004-01-15,Oromiya,West Hararge,Goba Koricha,7
0.47,0.34,0.47,72.01,28.31,90.28,51.88,11.41,0.55,32.96,20.11,12.85,1.53,2004-01-16,Oromiya,West Hararge,Goba Koricha,7
0.47,0.34,0.46,43.5,29.05,90.17,52.38,12.15,0.51,33.26,20.67,12.59,1.23,2004-01-17,Oromiya,West Hararge,Goba Koricha,7
0.47,0.32,0.46,61.97,28.09,90.14,50.56,11.41,0.19,32.41,21.08,11.32,1.44,2004-01-18,Oromiya,West Hararge,Goba Koricha,7
0.46,0.3,0.46,65.43,29.48,90.14,51.62,11.96,0.08,33.87,19.76,14.1,2.11,2004-01-19,Oromiya,West Hararge,Goba Koricha,7
0.46,0.3,0.46,85.71,28.28,90.14,57.81,13.0,0.59,31.63,20.82,10.81,2.09,2004-01-20,Oromiya,West Hararge,Goba Koricha,7
0.46,0.29,0.46,55.33,28.97,90.06,56.81,12.82,0.18,33.18,20.48,12.7,1.77,2004-01-21,Oromiya,West Hararge,Goba Koricha,7
0.46,0.28,0.46,42.09,29.24,90.05,52.31,11.96,0.14,33.51,19.96,13.55,1.64,2004-01-22,Oromiya,West Hararge,Goba Koricha,7
0.46,0.27,0.46,46.21,30.23,89.97,47.5,11.72,0.09,34.19,21.38,12.8,1.56,2004-01-23,Oromiya,West Hararge,Goba Koricha,7
0.46,0.26,0.46,74.2,30.1,90.08,49.06,11.96,0.07,33.63,21.65,11.98,1.3,2004-01-24,Oromiya,West Hararge,Goba Koricha,7
0.46,0.25,0.46,22.13,29.64,90.21,50.06,11.72,0.05,33.69,21.05,12.65,2.03,2004-01-25,Oromiya,West Hararge,Goba Koricha,7
0.46,0.24,0.46,29.45,29.0,90.25,48.19,10.86,0.0,33.8,19.73,14.07,2.27,2004-01-26,Oromiya,West Hararge,Goba Koricha,7
0.46,0.23,0.46,31.86,27.99,90.24,45.69,9.95,0.0,32.95,19.22,13.73,2.23,2004-01-27,Oromiya,West Hararge,Goba Koricha,7
0.46,0.23,0.46,40.38,28.36,90.13,47.44,10.44,0.0,33.26,18.84,14.41,2.26,2004-01-28,Oromiya,West Hararge,Goba Koricha,7
0.46,0.22,0.46,87.88,29.8,90.18,49.38,11.29,0.0,34.83,19.94,14.9,2.47,2004-01-29,Oromiya,West Hararge,Goba Koricha,7
0.46,0.21,0.46,91.86,29.44,90.35,46.31,10.56,0.0,33.66,21.12,12.54,2.21,2004-01-30,Oromiya,West Hararge,Goba Koricha,7
0.46,0.22,0.46,61.84,28.5,90.39,48.19,10.68,0.49,32.51,20.12,12.38,2.26,2004-01-31,Oromiya,West Hararge,Goba Koricha,7
0.46,0.23,0.46,60.35,28.53,90.22,50.25,10.93,0.41,33.05,19.34,13.71,2.56,2004-02-01,Oromiya,West Hararge,Goba Koricha,7
0.46,0.23,0.46,81.58,28.21,90.24,52.69,11.35,0.33,31.76,19.4,12.35,2.88,2004-02-02,Oromiya,West Hararge,Goba Koricha,7
0.46,0.23,0.46,42.43,28.04,90.3,49.19,10.31,0.07,32.65,19.14,13.51,2.52,2004-02-03,Oromiya,West Hararge,Goba Koricha,7
0.46,0.23,0.46,80.2,26.82,90.36,53.62,10.86,0.22,31.28,18.87,12.41,3.07,2004-02-04,Oromiya,West Hararge,Goba Koricha,7
0.46,0.22,0.46,56.91,27.26,90.36,49.5,10.19,0.06,32.25,19.12,13.12,2.53,2004-02-05,Oromiya,West Hararge,Goba Koricha,7
0.46,0.22,0.46,57.79,27.2,90.46,46.56,9.58,0.22,32.19,18.32,13.88,2.58,2004-02-06,Oromiya,West Hararge,Goba Koricha,7
0.46,0.22,0.46,69.58,26.53,90.62,54.25,10.93,0.32,30.88,18.26,12.62,3.14,2004-02-07,Oromiya,West Hararge,Goba Koricha,7
0.46,0.23,0.46,50.46,26.7,90.68,50.62,9.83,0.77,32.71,18.19,14.52,3.41,2004-02-08,Oromiya,West Hararge,Goba Koricha,7
