GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.41,0.3,0.41,11.91,24.18,85.45,40.75,7.14,0.0,31.58,14.3,17.27,1.2,2004-01-01,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.41,22.45,23.83,85.44,47.25,7.87,0.0,30.55,13.19,17.37,0.92,2004-01-02,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,17.0,23.85,85.46,51.12,8.48,0.0,31.08,13.87,17.21,1.27,2004-01-03,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,20.84,22.69,85.51,41.5,6.35,0.0,31.73,12.91,18.81,1.91,2004-01-04,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,20.81,22.13,85.52,33.31,4.94,0.0,31.31,12.17,19.15,1.71,2004-01-05,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,29.05,22.14,85.45,40.12,6.1,0.0,30.96,11.5,19.46,1.97,2004-01-06,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,27.86,21.8,85.34,36.88,5.68,0.0,30.43,12.21,18.22,1.9,2004-01-07,Oromiya,East Hararge,Golo Oda,17
0.41,0.29,0.4,27.45,21.72,85.39,33.5,5.13,0.0,30.48,11.38,19.1,1.82,2004-01-08,Oromiya,East Hararge,Golo Oda,17
0.41,0.29,0.4,26.62,23.15,85.37,44.25,6.77,0.0,32.65,12.65,19.98,1.85,2004-01-09,Oromiya,East Hararge,Golo Oda,17
0.41,0.29,0.4,23.71,22.49,85.4,43.56,6.71,0.0,30.71,12.56,18.15,1.99,2004-01-10,Oromiya,East Hararge,Golo Oda,17
0.41,0.29,0.4,40.17,23.49,85.47,47.56,8.67,0.05,29.94,12.69,17.27,2.1,2004-01-11,Oromiya,East Hararge,Golo Oda,17
0.41,0.29,0.4,42.46,25.53,85.44,51.75,10.13,0.1,29.69,15.32,14.37,1.34,2004-01-12,Oromiya,East Hararge,Golo Oda,17
0.41,0.29,0.4,61.73,25.33,85.35,50.88,9.89,0.21,29.87,15.7,14.16,1.55,2004-01-13,Oromiya,East Hararge,Golo Oda,17
0.41,0.29,0.4,97.56,25.8,85.29,51.0,10.25,0.25,29.76,16.93,12.83,1.41,2004-01-14,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,98.32,22.84,85.39,61.88,11.11,0.58,25.3,17.02,8.28,1.29,2004-01-15,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,64.29,25.95,85.37,55.06,10.86,0.07,30.51,16.28,14.24,1.48,2004-01-16,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,55.48,26.23,85.29,55.88,11.29,0.55,30.29,16.94,13.34,1.64,2004-01-17,Oromiya,East Hararge,Golo Oda,17
0.41,0.3,0.4,52.12,25.76,85.28,50.88,10.13,0.08,30.27,16.36,13.91,2.08,2004-01-18,Oromiya,East Hararge,Golo Oda,17
