GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.56,0.37,0.55,11.91,23.44,83.93,43.38,7.75,0.0,30.23,14.05,16.19,0.78,2004-01-01,Oromiya,East Hararge,Gursum,3
0.56,0.36,0.55,22.45,22.52,83.92,42.75,7.39,0.0,29.46,13.58,15.88,1.09,2004-01-02,Oromiya,East Hararge,Gursum,3
0.56,0.35,0.55,17.0,22.73,83.93,44.19,7.63,0.0,30.12,14.05,16.08,1.09,2004-01-03,Oromiya,East Hararge,Gursum,3
0.55,0.34,0.55,20.84,21.69,83.98,37.06,6.04,0.0,30.41,13.13,17.28,1.41,2004-01-04,Oromiya,East Hararge,Gursum,3
0.55,0.34,0.55,20.81,21.16,83.99,28.0,4.39,0.0,30.4,12.87,17.54,1.52,2004-01-05,Oromiya,East Hararge,Gursum,3
0.55,0.33,0.55,29.05,21.1,83.93,34.5,5.49,0.0,29.82,12.04,17.78,1.8,2004-01-06,Oromiya,East Hararge,Gursum,3
0.55,0.32,0.55,27.86,20.97,83.81,36.06,5.62,0.0,29.35,12.58,16.77,1.94,2004-01-07,Oromiya,East Hararge,Gursum,3
0.55,0.31,0.55,27.45,20.9,83.86,30.81,4.82,0.0,29.64,12.05,17.59,1.7,2004-01-08,Oromiya,East Hararge,Gursum,3
0.55,0.31,0.55,26.62,22.23,83.84,34.94,5.74,0.0,31.57,13.22,18.35,1.39,2004-01-09,Oromiya,East Hararge,Gursum,3
0.55,0.3,0.55,23.71,21.66,83.87,37.75,6.23,0.0,29.48,13.88,15.6,1.85,2004-01-10,Oromiya,East Hararge,Gursum,3
0.55,0.3,0.55,40.17,22.48,83.93,47.38,8.18,0.05,29.05,12.73,16.33,1.98,2004-01-11,Oromiya,East Hararge,Gursum,3
0.55,0.3,0.55,42.46,24.24,83.91,54.69,10.31,0.4,28.4,15.21,13.19,1.43,2004-01-12,Oromiya,East Hararge,Gursum,3
0.55,0.32,0.55,61.73,24.33,83.81,51.56,9.77,0.87,28.78,15.94,12.84,1.4,2004-01-13,Oromiya,East Hararge,Gursum,3
0.55,0.34,0.55,97.56,24.39,83.75,57.69,10.74,0.77,28.66,16.31,12.35,1.59,2004-01-14,Oromiya,East Hararge,Gursum,3
0.55,0.36,0.55,98.32,21.12,83.84,66.56,11.29,0.9,23.71,15.98,7.74,1.2,2004-01-15,Oromiya,East Hararge,Gursum,3
0.55,0.37,0.55,64.29,23.89,83.85,58.38,10.8,0.34,28.36,15.19,13.17,1.27,2004-01-16,Oromiya,East Hararge,Gursum,3
0.55,0.37,0.55,55.48,24.43,83.77,60.25,11.54,0.67,28.6,16.53,12.07,1.53,2004-01-17,Oromiya,East Hararge,Gursum,3
0.55,0.36,0.55,52.12,24.45,83.74,53.06,10.07,0.17,28.6,16.27,12.33,2.06,2004-01-18,Oromiya,East Hararge,Gursum,3
0.55,0.35,0.55,75.5,25.55,83.74,55.56,10.93,0.12,28.99,16.94,12.05,1.52,2004-01-19,Oromiya,East Hararge,Gursum,3
0.55,0.36,0.55,87.52,24.15,83.72,60.62,11.47,1.11,27.38,17.49,9.89,1.56,2004-01-20,Oromiya,East Hararge,Gursum,3
0.55,0.37,0.55,60.48,22.76,83.66,67.06,12.08,0.13,25.6,17.09,8.51,1.66,2004-01-21,Oromiya,East Hararge,Gursum,3
0.55,0.37,0.55,45.74,20.63,83.7,71.75,12.02,0.13,23.55,15.7,7.86,1.66,2004-01-22,Oromiya,East Hararge,Gursum,3
0.55,0.36,0.55,64.23,23.62,83.62,68.5,12.27,0.07,28.06,15.45,12.62,1.46,2004-01-23,Oromiya,East Hararge,Gursum,3
0.55,0.35,0.55,45.7,24.1,83.71,62.12,11.66,0.06,27.9,17.02,10.88,1.22,2004-01-24,Oromiya,East Hararge,Gursum,3
0.55,0.34,0.55,27.52,24.37,83.78,54.44,10.62,0.01,28.49,16.76,11.73,1.31,2004-01-25,Oromiya,East Hararge,Gursum,3
0.55,0.33,0.55,33.16,25.75,83.77,47.69,9.34,0.0,30.58,16.9,13.67,1.52,2004-01-26,Oromiya,East Hararge,Gursum,3
0.55,0.31,0.55,21.45,25.7,83.71,44.75,8.67,0.0,30.69,15.78,14.91,0.92,2004-01-27,Oromiya,East Hararge,Gursum,3
0.55,0.3,0.55,27.41,26.28,83.61,45.06,8.61,0.0,31.9,15.48,16.42,1.18,2004-01-28,Oromiya,East Hararge,Gursum,3
0.55,0.29,0.55,52.97,26.83,83.72,45.62,9.28,0.0,30.44,16.26,14.19,1.07,2004-01-29,Oromiya,East Hararge,Gursum,3
0.55,0.28,0.55,66.84,26.37,83.88,42.81,8.73,0.0,29.46,16.58,12.88,1.55,2004-01-30,Oromiya,East Hararge,Gursum,3
0.55,0.28,0.55,53.81,24.32,83.89,51.38,9.64,0.52,27.44,16.82,10.62,1.47,2004-01-31,Oromiya,East Hararge,Gursum,3
0.55,0.28,0.55,40.98,23.9,83.72,53.19,9.83,0.13,27.31,15.95,11.36,1.17,2004-02-01,Oromiya,East Hararge,Gursum,3
0.55,0.29,0.55,38.91,24.79,83.73,57.5,10.8,0.45,27.75,16.99,10.76,1.3,2004-02-02,Oromiya,East Hararge,Gursum,3
0.55,0.29,0.55,29.88,23.32,83.79,57.38,10.56,0.14,25.79,17.44,8.35,1.0,2004-02-03,Oromiya,East Hararge,Gursum,3
0.55,0.3,0.55,22.51,22.25,83.8,57.25,9.77,0.54,26.22,14.69,11.52,1.91,2004-02-04,Oromiya,East Hararge,Gursum,3
