GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.43,0.4,0.43,11.15,22.55,86.22,51.25,8.79,0.0,29.64,14.14,15.5,1.45,2004-01-01,Oromiya,East Hararge,Kombolcha,1
0.43,0.39,0.43,13.54,22.54,86.17,53.44,8.97,0.0,29.48,13.21,16.27,1.78,2004-01-02,Oromiya,East Hararge,Kombolcha,1
0.43,0.38,0.43,18.28,23.7,86.15,47.56,8.3,0.0,31.06,14.14,16.92,1.88,2004-01-03,Oromiya,East Hararge,Kombolcha,1
0.43,0.37,0.42,22.13,22.91,86.21,42.75,7.32,0.0,30.58,13.8,16.78,1.72,2004-01-04,Oromiya,East Hararge,Kombolcha,1
0.43,0.35,0.42,13.95,23.0,86.19,33.5,5.62,0.0,31.9,14.23,17.69,1.7,2004-01-05,Oromiya,East Hararge,Kombolcha,1
0.42,0.34,0.42,22.45,23.28,86.11,35.25,6.04,0.0,31.71,12.92,18.79,1.85,2004-01-06,Oromiya,East Hararge,Kombolcha,1
0.42,0.33,0.42,14.55,24.19,85.95,34.88,6.29,0.0,32.43,14.64,17.8,1.91,2004-01-07,Oromiya,East Hararge,Kombolcha,1
0.42,0.31,0.42,24.7,24.07,86.03,32.94,5.92,0.0,31.95,14.43,17.52,2.02,2004-01-08,Oromiya,East Hararge,Kombolcha,1
0.42,0.3,0.41,21.13,23.63,86.1,40.0,6.9,0.0,31.32,14.58,16.73,1.95,2004-01-09,Oromiya,East Hararge,Kombolcha,1
0.42,0.28,0.41,19.72,24.26,86.05,38.94,7.08,0.0,31.54,14.16,17.38,1.48,2004-01-10,Oromiya,East Hararge,Kombolcha,1
0.42,0.27,0.41,47.12,25.3,86.09,37.62,7.08,0.01,32.37,14.51,17.85,1.81,2004-01-11,Oromiya,East Hararge,Kombolcha,1
0.42,0.27,0.41,55.88,25.83,86.11,54.31,10.8,0.57,30.51,16.17,14.34,1.48,2004-01-12,Oromiya,East Hararge,Kombolcha,1
0.42,0.3,0.41,61.95,26.0,86.02,56.56,11.35,1.78,30.23,17.88,12.34,1.34,2004-01-13,Oromiya,East Hararge,Kombolcha,1
0.42,0.36,0.42,97.71,24.09,86.04,66.0,11.96,1.87,28.36,17.44,10.92,2.19,2004-01-14,Oromiya,East Hararge,Kombolcha,1
0.42,0.38,0.42,95.2,21.74,86.1,70.31,12.02,0.97,25.41,17.06,8.35,2.26,2004-01-15,Oromiya,East Hararge,Kombolcha,1
0.42,0.38,0.42,78.61,24.89,86.06,57.56,11.11,0.55,29.76,17.55,12.22,1.16,2004-01-16,Oromiya,East Hararge,Kombolcha,1
0.42,0.36,0.42,59.73,25.78,85.97,57.38,11.6,0.61,30.1,17.88,12.22,1.42,2004-01-17,Oromiya,East Hararge,Kombolcha,1
0.42,0.34,0.42,61.32,24.92,85.93,54.31,10.86,0.26,28.85,18.51,10.34,1.41,2004-01-18,Oromiya,East Hararge,Kombolcha,1
0.42,0.32,0.41,72.02,26.62,85.94,55.81,11.41,0.08,30.94,17.23,13.71,1.98,2004-01-19,Oromiya,East Hararge,Kombolcha,1
0.42,0.31,0.41,94.53,25.79,85.93,62.38,12.39,0.63,29.33,18.44,10.89,1.54,2004-01-20,Oromiya,East Hararge,Kombolcha,1
0.42,0.3,0.41,63.83,26.61,85.85,59.19,11.96,0.16,30.42,18.42,12.0,1.05,2004-01-21,Oromiya,East Hararge,Kombolcha,1
0.42,0.29,0.41,33.91,25.73,85.86,58.0,11.6,0.15,28.96,18.18,10.78,1.4,2004-01-22,Oromiya,East Hararge,Kombolcha,1
0.42,0.28,0.41,64.06,25.81,85.81,57.31,11.84,0.09,29.28,18.16,11.12,2.02,2004-01-23,Oromiya,East Hararge,Kombolcha,1
