GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.42,0.38,0.41,11.15,22.34,83.54,47.62,8.48,0.0,28.81,14.41,14.41,0.7,2004-01-01,Oromiya,West Hararge,Mesela,4
0.42,0.38,0.41,13.54,21.85,83.51,48.12,8.24,0.0,28.27,13.47,14.8,1.21,2004-01-02,Oromiya,West Hararge,Mesela,4
0.41,0.37,0.41,18.28,22.11,83.52,46.31,7.75,0.0,29.34,12.87,16.47,1.29,2004-01-03,Oromiya,West Hararge,Mesela,4
0.41,0.36,0.41,22.13,21.31,83.56,38.38,6.41,0.0,29.65,12.87,16.78,1.4,2004-01-04,Oromiya,West Hararge,Mesela,4
0.41,0.35,0.41,13.95,20.63,83.57,30.94,5.0,0.0,29.86,12.94,16.93,1.55,2004-01-05,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,22.45,20.54,83.51,36.69,5.86,0.0,29.26,12.05,17.2,1.91,2004-01-06,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,14.55,20.71,83.39,42.12,6.53,0.0,29.16,12.27,16.89,2.2,2004-01-07,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,24.7,20.6,83.43,36.38,5.74,0.0,29.39,11.76,17.62,1.84,2004-01-08,Oromiya,West Hararge,Mesela,4
0.41,0.33,0.41,21.13,21.4,83.44,34.75,5.86,0.0,30.48,13.35,17.12,1.34,2004-01-09,Oromiya,West Hararge,Mesela,4
0.41,0.32,0.41,19.72,21.15,83.45,37.88,6.29,0.0,29.15,12.55,16.59,1.88,2004-01-10,Oromiya,West Hararge,Mesela,4
0.41,0.31,0.41,47.12,21.83,83.51,46.75,7.81,0.02,29.01,12.32,16.69,2.11,2004-01-11,Oromiya,West Hararge,Mesela,4
0.41,0.32,0.4,55.88,23.24,83.5,58.94,10.68,0.63,28.05,14.07,13.98,1.53,2004-01-12,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,61.95,23.88,83.4,56.88,10.68,1.63,28.22,15.93,12.29,1.34,2004-01-13,Oromiya,West Hararge,Mesela,4
0.41,0.38,0.41,97.71,23.09,83.35,63.0,11.23,1.53,27.09,16.13,10.96,1.59,2004-01-14,Oromiya,West Hararge,Mesela,4
0.41,0.38,0.41,95.2,20.28,83.41,70.0,11.6,0.99,23.01,16.05,6.97,1.27,2004-01-15,Oromiya,West Hararge,Mesela,4
0.41,0.38,0.41,78.61,22.94,83.42,59.31,10.86,0.73,27.54,15.33,12.2,1.33,2004-01-16,Oromiya,West Hararge,Mesela,4
0.41,0.37,0.41,59.73,23.51,83.36,61.19,11.41,0.7,27.83,15.83,12.0,1.62,2004-01-17,Oromiya,West Hararge,Mesela,4
0.41,0.36,0.41,61.32,23.4,83.32,55.56,10.31,0.21,27.68,15.87,11.8,2.01,2004-01-18,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,72.02,24.83,83.31,56.62,10.86,0.07,28.65,15.62,13.03,1.46,2004-01-19,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,94.53,22.73,83.3,63.81,11.78,0.65,25.91,17.47,8.45,1.45,2004-01-20,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,63.83,21.89,83.25,67.12,11.84,0.14,24.51,16.41,8.09,1.45,2004-01-21,Oromiya,West Hararge,Mesela,4
0.41,0.34,0.41,33.91,21.23,83.27,68.44,11.6,0.13,24.78,15.58,9.2,1.56,2004-01-22,Oromiya,West Hararge,Mesela,4
0.41,0.33,0.4,64.06,23.63,83.21,65.0,11.9,0.07,27.3,14.87,12.43,1.44,2004-01-23,Oromiya,West Hararge,Mesela,4
0.41,0.32,0.4,61.64,23.47,83.29,64.25,11.84,0.07,27.3,16.26,11.05,1.25,2004-01-24,Oromiya,West Hararge,Mesela,4
0.41,0.31,0.4,37.34,24.51,83.36,55.62,10.8,0.03,28.73,16.21,12.52,0.99,2004-01-25,Oromiya,West Hararge,Mesela,4
0.4,0.3,0.4,45.93,24.66,83.37,50.31,9.77,0.0,29.67,17.01,12.66,1.37,2004-01-26,Oromiya,West Hararge,Mesela,4
0.4,0.28,0.4,35.5,24.41,83.32,47.69,8.97,0.0,29.09,15.52,13.57,0.82,2004-01-27,Oromiya,West Hararge,Mesela,4
0.4,0.27,0.4,51.12,25.51,83.21,47.25,8.91,0.0,31.04,14.84,16.2,1.08,2004-01-28,Oromiya,West Hararge,Mesela,4
0.4,0.26,0.4,86.81,26.27,83.31,45.94,9.22,0.0,30.32,16.55,13.77,1.31,2004-01-29,Oromiya,West Hararge,Mesela,4
0.4,0.24,0.4,89.74,25.58,83.47,44.06,8.73,0.0,28.93,17.49,11.44,1.62,2004-01-30,Oromiya,West Hararge,Mesela,4
0.4,0.27,0.4,72.08,23.73,83.49,52.44,9.64,1.22,27.37,16.01,11.36,1.3,2004-01-31,Oromiya,West Hararge,Mesela,4
0.4,0.27,0.4,68.55,23.64,83.31,54.5,9.83,0.4,27.47,14.96,12.51,1.0,2004-02-01,Oromiya,West Hararge,Mesela,4
0.4,0.28,0.4,74.34,23.57,83.33,61.5,11.11,0.69,26.62,16.58,10.04,1.52,2004-02-02,Oromiya,West Hararge,Mesela,4
0.4,0.28,0.4,44.03,22.28,83.38,60.12,10.56,0.15,25.13,16.65,8.48,0.88,2004-02-03,Oromiya,West Hararge,Mesela,4
0.4,0.28,0.4,73.44,21.38,83.41,59.0,9.7,0.55,25.48,14.19,11.29,1.83,2004-02-04,Oromiya,West Hararge,Mesela,4
0.4,0.27,0.4,54.93,23.12,83.39,54.0,9.16,0.07,28.56,13.62,14.95,1.88,2004-02-05,Oromiya,West Hararge,Mesela,4
0.4,0.26,0.4,68.78,23.79,83.5,47.38,8.48,0.29,28.87,15.24,13.62,1.75,2004-02-06,Oromiya,West Hararge,Mesela,4
0.4,0.25,0.4,75.62,24.16,83.61,53.69,9.09,0.19,29.01,13.85,15.16,2.02,2004-02-07,Oromiya,West Hararge,Mesela,4
0.4,0.25,0.4,42.85,23.85,83.67,52.75,8.48,0.65,30.44,13.78,16.66,1.8,2004-02-08,Oromiya,West Hararge,Mesela,4
0.4,0.24,0.4,26.38,23.86,83.63,44.19,7.39,0.31,30.02,13.4,16.62,1.33,2004-02-09,Oromiya,West Hararge,Mesela,4
0.4,0.23,0.4,22.57,23.69,83.61,34.19,5.98,0.0,31.26,13.27,17.98,1.26,2004-02-10,Oromiya,West Hararge,Mesela,4
