GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.44,0.38,0.43,11.15,20.84,83.88,49.19,7.87,0.0,28.26,13.35,14.91,1.65,2004-01-01,Oromiya,East Hararge,Meta,9
0.44,0.36,0.43,13.54,21.06,83.85,51.38,7.93,0.0,28.33,11.99,16.34,2.01,2004-01-02,Oromiya,East Hararge,Meta,9
0.44,0.35,0.43,18.28,22.22,83.85,48.69,7.87,0.0,29.44,12.87,16.58,1.95,2004-01-03,Oromiya,East Hararge,Meta,9
0.44,0.34,0.43,22.13,21.12,83.9,39.75,6.41,0.0,29.0,12.67,16.33,1.92,2004-01-04,Oromiya,East Hararge,Meta,9
0.44,0.33,0.43,13.95,21.15,83.89,29.81,4.7,0.0,30.19,12.76,17.44,1.8,2004-01-05,Oromiya,East Hararge,Meta,9
0.43,0.32,0.42,22.45,21.65,83.82,34.31,5.55,0.0,29.94,11.68,18.27,1.89,2004-01-06,Oromiya,East Hararge,Meta,9
0.43,0.31,0.42,14.55,22.39,83.67,32.81,5.43,0.0,30.44,13.04,17.41,2.58,2004-01-07,Oromiya,East Hararge,Meta,9
0.43,0.3,0.42,24.7,22.09,83.74,30.31,5.0,0.0,30.12,12.73,17.39,2.24,2004-01-08,Oromiya,East Hararge,Meta,9
0.43,0.29,0.42,21.13,21.79,83.79,42.19,6.59,0.0,29.94,12.77,17.17,2.09,2004-01-09,Oromiya,East Hararge,Meta,9
0.43,0.28,0.42,19.72,22.41,83.75,38.25,6.41,0.0,29.75,13.11,16.64,1.59,2004-01-10,Oromiya,East Hararge,Meta,9
0.43,0.28,0.42,47.12,23.69,83.81,41.69,7.45,0.02,30.12,13.11,17.02,2.13,2004-01-11,Oromiya,East Hararge,Meta,9
0.43,0.28,0.42,55.88,24.24,83.81,55.44,10.31,0.25,28.67,15.51,13.16,1.83,2004-01-12,Oromiya,East Hararge,Meta,9
0.43,0.3,0.42,61.95,24.51,83.72,54.69,10.38,1.08,28.91,16.69,12.23,1.48,2004-01-13,Oromiya,East Hararge,Meta,9
0.43,0.34,0.42,97.71,22.99,83.7,65.75,11.35,1.63,27.15,16.46,10.7,2.34,2004-01-14,Oromiya,East Hararge,Meta,9
0.43,0.37,0.43,95.2,20.52,83.76,71.94,11.6,0.8,23.64,16.08,7.56,1.55,2004-01-15,Oromiya,East Hararge,Meta,9
0.43,0.36,0.43,78.61,23.18,83.76,60.56,10.86,0.21,27.92,15.66,12.27,1.27,2004-01-16,Oromiya,East Hararge,Meta,9
0.43,0.35,0.43,59.73,23.92,83.68,60.75,11.35,0.55,27.85,16.26,11.59,1.72,2004-01-17,Oromiya,East Hararge,Meta,9
0.43,0.35,0.42,61.32,23.59,83.65,55.25,10.25,0.24,27.18,16.82,10.36,1.85,2004-01-18,Oromiya,East Hararge,Meta,9
0.43,0.34,0.42,72.02,25.01,83.65,59.38,11.29,0.13,28.96,16.58,12.38,1.8,2004-01-19,Oromiya,East Hararge,Meta,9
0.43,0.34,0.42,94.53,24.81,83.62,62.44,11.72,1.03,28.69,17.12,11.57,1.17,2004-01-20,Oromiya,East Hararge,Meta,9
0.43,0.34,0.42,63.83,25.1,83.55,60.88,11.54,0.17,29.01,16.78,12.23,1.07,2004-01-21,Oromiya,East Hararge,Meta,9
0.43,0.33,0.42,33.91,22.3,83.58,66.19,11.72,0.17,25.3,16.55,8.75,1.55,2004-01-22,Oromiya,East Hararge,Meta,9
0.43,0.32,0.42,64.06,23.76,83.52,64.12,11.96,0.08,27.31,16.59,10.73,2.41,2004-01-23,Oromiya,East Hararge,Meta,9
0.43,0.31,0.42,61.64,24.61,83.61,59.19,11.41,0.05,28.01,17.53,10.48,1.5,2004-01-24,Oromiya,East Hararge,Meta,9
0.43,0.3,0.42,37.34,24.89,83.69,55.75,10.68,0.01,29.05,16.0,13.05,1.25,2004-01-25,Oromiya,East Hararge,Meta,9
0.43,0.29,0.42,45.93,24.92,83.72,53.31,9.95,0.0,29.92,16.88,13.04,1.67,2004-01-26,Oromiya,East Hararge,Meta,9
0.43,0.27,0.42,35.5,23.26,83.7,50.25,8.79,0.0,28.31,15.23,13.09,1.84,2004-01-27,Oromiya,East Hararge,Meta,9
0.43,0.27,0.42,51.12,23.73,83.6,56.38,9.89,0.0,29.48,14.61,14.88,2.02,2004-01-28,Oromiya,East Hararge,Meta,9
0.43,0.26,0.42,86.81,25.29,83.66,53.5,9.83,0.0,30.3,15.45,14.86,1.58,2004-01-29,Oromiya,East Hararge,Meta,9
0.43,0.25,0.42,89.74,24.77,83.81,51.81,9.52,0.0,28.85,16.49,12.36,1.62,2004-01-30,Oromiya,East Hararge,Meta,9
0.43,0.25,0.42,72.08,22.97,83.84,57.81,10.07,0.16,26.97,15.15,11.82,1.82,2004-01-31,Oromiya,East Hararge,Meta,9
0.43,0.24,0.42,68.55,22.62,83.67,61.12,10.25,0.07,27.31,14.1,13.21,1.73,2004-02-01,Oromiya,East Hararge,Meta,9
0.42,0.24,0.42,74.34,23.34,83.67,62.19,10.68,0.11,27.9,15.06,12.84,1.95,2004-02-02,Oromiya,East Hararge,Meta,9
