GWETPROF,GWETTOP,GWETROOT,CLOUD_AMT,TS,PS,RH2M,QV2M,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M_RANGE,WS2M,date,region,zone,district,weredacode
0.47,0.34,0.47,11.91,19.72,83.24,56.81,7.63,0.0,26.36,10.33,16.02,2.4,2004-01-01,Oromiya,East Hararge,Meyu,18
0.47,0.34,0.47,22.45,20.59,83.2,69.81,9.7,0.0,26.98,11.44,15.54,2.41,2004-01-02,Oromiya,East Hararge,Meyu,18
0.47,0.33,0.47,17.0,21.14,83.22,66.44,9.58,0.0,27.2,11.55,15.66,2.55,2004-01-03,Oromiya,East Hararge,Meyu,18
0.47,0.32,0.46,20.84,19.89,83.28,48.81,6.59,0.0,27.12,11.3,15.83,2.77,2004-01-04,Oromiya,East Hararge,Meyu,18
0.47,0.31,0.46,20.81,20.13,83.27,48.56,6.59,0.0,27.75,11.48,16.27,2.5,2004-01-05,Oromiya,East Hararge,Meyu,18
0.47,0.3,0.46,29.05,20.36,83.2,59.88,8.24,0.0,27.1,10.72,16.38,2.81,2004-01-06,Oromiya,East Hararge,Meyu,18
0.46,0.3,0.46,27.86,20.48,83.08,47.69,6.71,0.0,27.62,11.8,15.82,2.88,2004-01-07,Oromiya,East Hararge,Meyu,18
0.46,0.3,0.46,27.45,20.26,83.12,48.81,6.77,0.0,27.47,10.87,16.59,2.81,2004-01-08,Oromiya,East Hararge,Meyu,18
0.46,0.29,0.46,26.62,20.25,83.15,62.56,8.54,0.0,27.33,11.75,15.59,2.78,2004-01-09,Oromiya,East Hararge,Meyu,18
0.46,0.28,0.46,23.71,20.75,83.13,50.75,7.2,0.0,27.4,10.98,16.42,3.0,2004-01-10,Oromiya,East Hararge,Meyu,18
0.46,0.28,0.46,40.17,21.94,83.2,55.88,9.4,0.03,27.27,12.15,15.13,2.93,2004-01-11,Oromiya,East Hararge,Meyu,18
0.46,0.27,0.45,42.46,22.96,83.18,67.94,11.11,0.03,27.62,13.98,13.64,2.48,2004-01-12,Oromiya,East Hararge,Meyu,18
0.46,0.27,0.45,61.73,23.53,83.06,63.94,10.86,0.13,27.45,13.8,13.65,1.74,2004-01-13,Oromiya,East Hararge,Meyu,18
0.46,0.27,0.45,97.56,23.14,83.01,64.25,10.93,0.43,26.34,15.64,10.7,2.23,2004-01-14,Oromiya,East Hararge,Meyu,18
0.46,0.28,0.45,98.32,20.73,83.1,71.62,11.29,0.29,22.33,15.37,6.96,1.61,2004-01-15,Oromiya,East Hararge,Meyu,18
0.46,0.28,0.45,64.29,22.85,83.12,68.5,11.47,0.36,26.5,14.61,11.9,2.42,2004-01-16,Oromiya,East Hararge,Meyu,18
0.46,0.28,0.45,55.48,23.06,83.05,70.06,11.9,0.47,26.49,15.18,11.31,2.24,2004-01-17,Oromiya,East Hararge,Meyu,18
0.46,0.28,0.45,52.12,23.14,83.0,61.62,10.5,0.11,27.26,14.5,12.76,2.5,2004-01-18,Oromiya,East Hararge,Meyu,18
0.46,0.27,0.45,75.5,24.34,83.0,61.81,10.99,0.19,27.53,15.15,12.38,1.98,2004-01-19,Oromiya,East Hararge,Meyu,18
0.46,0.29,0.45,87.52,23.97,82.97,65.88,11.66,1.38,27.01,16.19,10.81,2.22,2004-01-20,Oromiya,East Hararge,Meyu,18
0.46,0.3,0.45,60.48,23.58,82.92,69.12,12.08,0.03,26.62,16.19,10.43,2.55,2004-01-21,Oromiya,East Hararge,Meyu,18
0.46,0.29,0.45,45.74,24.04,82.94,66.06,11.78,0.04,26.49,16.49,10.0,2.07,2004-01-22,Oromiya,East Hararge,Meyu,18
0.46,0.28,0.45,64.23,24.06,82.88,64.5,11.72,0.02,26.89,16.01,10.88,2.55,2004-01-23,Oromiya,East Hararge,Meyu,18
0.46,0.27,0.45,45.7,25.18,82.96,58.19,11.05,0.01,28.01,16.72,11.29,2.37,2004-01-24,Oromiya,East Hararge,Meyu,18
0.46,0.26,0.45,27.52,24.55,83.05,58.81,10.5,0.0,27.97,16.05,11.91,2.07,2004-01-25,Oromiya,East Hararge,Meyu,18
0.46,0.25,0.45,33.16,24.08,83.05,56.38,9.7,0.0,28.86,15.34,13.52,2.44,2004-01-26,Oromiya,East Hararge,Meyu,18
