Param_Code,Param_Name
ALLSKY_SFC_PAR_TOT,All Sky Surface PAR Total
ALLSKY_SFC_SW_DWN,All Sky Surface Shortwave Downward Irradiance
ALLSKY_SFC_UVA,All Sky Surface UVA Irradiance
ALLSKY_SFC_UVB,All Sky Surface UVB Irradiance
T2M,Temperature at 2 Meters
T2M_MAX,Temperature at 2 Meters Maximum
T2M_MIN,Temperature at 2 Meters Minimum
T2MDEW,Dew/Frost Point at 2 Meters
T2MWET,Wet Bulb Temperature at 2 Meters
RH2M,Relative Humidity at 2 Meters
PRECIPITATIONCAL,precipitation Calibrated
PS,Surface Pressure
WS2M_MAX,Wind Speed at 2 Meters Maximum
WD2M,Wind Direction at 2 Meters
GWETTOP,Surface Soil Wetness
GWETROOT,Root Zone Soil Wetness
PRECTOTCORR,Precipitation Corrected
